mesh,method,mse_x,mse_y,mse_z,mae_x,mae_y,mae_z,chamfer_sq,hausdorff,normal_mean_deg
cylinder,minmax,5.628917270543893e-07,0.0,5.62891727054389e-07,0.0005796281281446602,0.0,0.0005796281281446602,2.251566908217558e-06,0.002252703963065381,0.11374187100452664
cylinder,unit_sphere,9.89938907291603e-07,1.0865217920894024e-06,9.899389072916026e-07,0.0008629186543926397,0.0009061192219997904,0.0008629186543926397,6.1327992133452154e-06,0.00369806985801782,0.37225237029844876
