mesh,method,mse_x,mse_y,mse_z,mae_x,mae_y,mae_z,chamfer_sq,hausdorff,normal_mean_deg
talwar,minmax,1.024303148208581e-09,2.3448721855952053e-07,1.2429654968930987e-08,2.7289976298778626e-05,0.00040509984841910864,9.478997757441087e-05,4.7632044130121495e-07,0.0009811565744014354,6.171955912087402
talwar,unit_sphere,9.147268649032662e-07,1.0012969261629525e-06,8.639701349688419e-07,0.0008258407105095833,0.0008679211459636844,0.0008036794333001823,4.8988636699332525e-06,0.003224661750071121,16.706796090196885
